terDate,deltaT,opType,strike,contract,last,bid,ask,change,%change,volume,openInterest,imVola0
20141114,4,call,20.50,GE141114C00020500,5.15,5.75,6.05,0.00,0.00%,0,53,1.5117
20141114,4,call,22.00,GE141114C00022000,2.83,4.25,4.55,0.00,0.00%,0,9,1.1719
20141114,4,call,22.50,GE141114C00022500,2.62,3.75,4.05,0.00,0.00%,10,10,1.0586
20141114,4,call,23.00,GE141114C00023000,3.30,3.25,3.55,0.00,0.00%,3,22,0.9492
20141114,4,call,23.50,GE141114C00023500,2.76,2.77,3.05,-0.12,-4.17%,1,64,0.8398
20141114,4,call,24.00,GE141114C00024000,2.35,2.27,2.52,0.58,+32.77%,15,27,0.6758
20141114,4,call,24.50,GE141114C00024500,1.20,1.78,2.01,0.00,0.00%,1,513,0.5527
20141114,4,call,25.00,GE141114C00025000,1.40,1.34,1.43,0.06,+4.48%,60,695,0.2891
20141114,4,call,25.50,GE141114C00025500,0.96,0.85,0.94,0.07,+7.87%,14,4108,0.2266
20141114,4,call,26.00,GE141114C00026000,0.45,0.46,0.48,-0.03,-6.25%,638,2899,0.1758
20141114,4,call,26.50,GE141114C00026500,0.13,0.12,0.14,-0.04,-23.53%,1378,1957,0.1465
20141114,4,call,27.00,GE141114C00027000,0.02,0.01,0.02,-0.01,-33.33%,166,172,0.1445
20141114,4,put,18.00,GE141114P00018000,0.03,0.00,0.02,0.00,0.00%,1,1,1.375
20141114,4,put,20.00,GE141114P00020000,0.02,0.00,0.02,0.00,0.00%,2,0,1.0313
20141114,4,put,21.00,GE141114P00021000,0.04,0.00,0.02,0.00,0.00%,25,25,0.875
20141114,4,put,21.50,GE141114P00021500,0.05,0.00,0.02,0.00,0.00%,30,203,0.7813
20141114,4,put,22.00,GE141114P00022000,0.18,0.00,0.02,0.00,0.00%,195,240,0.7188
20141114,4,put,22.50,GE141114P00022500,0.07,0.00,0.03,0.00,0.00%,7,34,0.6719
20141114,4,put,23.00,GE141114P00023000,0.03,0.00,0.02,0.00,0.00%,4,157,0.5625
20141114,4,put,23.50,GE141114P00023500,0.01,0.00,0.03,0.00,0.00%,10,240,0.5156
20141114,4,put,24.00,GE141114P00024000,0.02,0.00,0.03,0.00,0.00%,5,346,0.4922
